CASE	SPEAKER	NORMALIZED_MATCH_POSITION	WORDS_IN_IU	INTONATION	MORPHOLOGY	LEXICAL_RET	MIRRORING	PREC_PAUSE	FOLL_PAUSE	FUNCTION
36	Nikolaj Lixachev	1	1	Continuing	-й	FALSE	NA	0	0	COP
37	Nikolaj Lixachev	1	1	Continuing	-лэк	TRUE	FULL	0.8	0.4	PH
38	Nikolaj Lixachev	0	2	Falling	NA	TRUE	FULL	0	0	PH
39	Nikolaj Lixachev	1	1	Truncated	-ну-й	TRUE	PARTIAL	0.8	0	PH
40	Nikolaj Lixachev	1	1	Falling	-к	TRUE	FULL	0.3	2.2	PH
41	Nikolaj Lixachev	1	3	Continuing	-лэк	TRUE	FULL	0.7	0	PH
42	Nikolaj Lixachev	1	2	Falling	-й	FALSE	NA	0	1.4	COP
43	Nikolaj Lixachev	1	1	Continuing	-лэк	TRUE	FULL	0	0	PH
44	Nikolaj Lixachev	1	1	Continuing	-гэлэ	TRUE	FULL	0	0	PH
45	Nikolaj Lixachev	1	2	Continuing	-гэ	TRUE	FULL	0	0	PH
46	Nikolaj Lixachev	1	1	Continuing	NA	TRUE	FULL	0	0	PH
47	Nikolaj Lixachev	1	2	Continuing	-й	TRUE	PARTIAL	0	0.4	PH
48	Nikolaj Lixachev	1	1	Falling	-т-чэ	FALSE	NA	0	1.2	PH
49	Nikolaj Lixachev	1	1	Continuing	NA	TRUE	FULL	0	0	PH
50	Nikolaj Lixachev	0.75	5	Continuing	-л-дьэк	FALSE	NA	0	0	COP
51	Nikolaj Lixachev	1	1	Continuing	-п-ки	TRUE	FULL	0	0.5	PH
52	Nikolaj Lixachev	1	1	Continuing	-й	FALSE	NA	1	0	COP
53	Nikolaj Lixachev	1	3	Falling	-ӈи	TRUE	FULL	0	0	PH
54	Nikolaj Lixachev	1	1	Continuing	-гэт	TRUE	FULL	0.9	0.9	PH
55	Nikolaj Lixachev	1	1	Continuing	-лэк	TRUE	FULL	0.2	0.6	PH
